Table 1
Series T 0—300 / Trade.																																																									
ID	NO	YR	LOG T ENG F ALL	Q	CF	LOG T JAM F ALL	Q	CF	LOG T BOS F ALL	Q	CF	LOG T NYC F ALL	Q	CF	ALL T ENG F SWI	LOG T ENG F SWI	MAH T ENG F SWI	CF	ALL T ENG F HON	LOG T ENG F HON	MAH T ENG F HON	CF	ALL T ENG F MOS	LOG T ENG F MOS	MAH T ENG F MOS	CF	ALL T SCOT F HON	LOG T SCOT F HON	MAH T SCOT F HON	CF	ALL T GB F FWI	LOG T GB F FWI	MAH T GB F FWI	CF	ALL T GB F BWI	LOG T GB F BWI	MAH T GB F BWI	CF	ALL T GB F HON	LOG T GB F HON	MAH T GB F HON	CF	ALL T HON F ALL	ALL T ALL F HON	ALL T ALL F HON REEXP	ALL T HON F GB	ALL T GB F HON	CF	NOTE	ALL T HON F ALL	ALL T ALL F HON	ALL T ALL F HON REEXP	ALL T HON F GB	ALL T GB F HON	CF	NOTE	
T 144	144	1814																									" £	13,061.37 "	" £	307.15 "	" £	12,752.45 "	CUST 14/26									" £	92,159.83 "	" £	10,639.92 "	" £	69,541.25 "	CUST 4/9															
T 145	145	1815																									" £	40,305.49 "	" £	1,581.20 "	" £	38,656.75 "	CUST 14/27									" £	155,826.54 "	" £	20,236.73 "	" £	134,899.75 "	CUST 4/10															
T 146	146	1816																									" £	21,991.35 "	" £	611.77 "	" £	21,375.83 "	CUST 14/28									" £	118,328.79 "	" £	18,122.86 "	" £	93,438.18 "	CUST 4/11															
T 147	147	1817																																					" £	79,263.73 "	" £	26,158.38 "	" £	45,065.17 "	CUST 4/12															
T 148	148	1818																																					" £	97,267.68 "	" £	10,340.58 "	" £	80,927.70 "	CUST 4/13															
T 149	149	1819																																					" £	106,419.47 "	" £	14,603.76 "	" £	83,635.93 "	CUST 4/14															
T 150	150	1820																																					" £	136,360.48 "	" £	13,594.78 "	" £	108,239.96 "	CUST 4/15															
T 151	151	1821																																					" £	98,282.80 "	" £	13,591.84 "	" £	70,592.08 "	CUST 4/16															
T 152	152	1822																									" £	21,772.41 "	" £	629.34 "	" £	18,430.59 "	CUST 14/34									" £	162,118.73 "	" £	22,379.04 "	" £	114,190.32 "	CUST 4/17															
T 153	153	1823																																					" £	136,881.13 "	" £	14,718.80 "	" £	80,714.17 "	CUST 4/18															
T 154	154	1824																																					" £	196,756.70 "	" £	30,190.51 "	" £	137,001.63 "	CUST 4/19	" £	262,988 "	" £	272,826 "		" £	235,335 "	" £	218,522 "	Martin 140-1									
T 155	155	1825																																					" £	170,472.95 "	" £	32,462.01 "	" £	89,564.71 "	CUST 4/20	" £	289,871 "	" £	295,111 "		" £	244,131 "	" £	232,052 "	Martin 140-1									
T 156	156	1826																																					" £	205,321.59 "	" £	21,538.14 "	" £	140,625.91 "	CUST 4/21	" £	412,727 "	" £	350,370 "		" £	303,882 "	" £	283,076 "	Martin 140-1									
T 157	157	1827																																					" £	222,885.31 "	" £	19,948.98 "	" £	144,407.40 "	CUST 4/22	" £	313,502 "	" £	394,132 "		" £	271,209 "	" £	374,394 "	Martin 140-1									
T 158	158	1828																																					" £	181,251.53 "	" £	18,400.63 "	" £	108,290.50 "	CUST 4/23	" £	233,756 "	" £	301,255 "		" £	185,929 "	" £	219,798 "	Martin 140-1									
T 159	159	1829																																					" £	182,061.38 "	" £	17,623.11 "	" £	102,718.70 "	CUST 4/24	" £	244,464 "	" £	255,282 "		" £	209,199 "	" £	219,662 "	Martin 140-1									
T 160	160	1830																																					" £	221,855.06 "	" £	26,008.97 "	" £	100,652.10 "	CUST 4/25	" £	234,379 "	" £	316,151 "		" £	193,692 "	" £	195,192 "	Martin 140-1									
T 161	161	1831																																					" £	124,676.53 "	" £	13,076.80 "	" £	63,761.72 "	CUST 4/26	" £	278,627 "	" £	197,860 "		" £	216,617 "	" £	106,280 "	Martin 140-1									
T 162	162	1832																																					" £	232,839.81 "	" £	23,177.68 "	" £	106,344.65 "	CUST 4/27	" £	153,830 "	" £	182,267 "		" £	108,797 "	" £	145,497 "	Martin 140-1									
