Series L 0—382 / Currency and exchange.
ID	NO	YR	SP $ HON TREAS	US $ HON TREAS	HON $ HON TREAS	HON £ HON TREAS	£ HON TREAS	PENCE HON TREAS	CF	NOTE	SP $ JAM MARK	J £ JAM MARK	J PENCE 78 JAM MARK	J PENCE 93 JAM MARK	£ JAM MARK	PAR JAM MARK	CF	NOTE
L 100	100	1738	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 101	101	1739	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 102	102	1740	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 103	103	1741	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 104	104	1742	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 105	105	1743	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 106	106	1744	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 107	107	1745	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 108	108	1746	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 109	109	1747	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 110	110	1748	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 111	111	1749	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 112	112	1750	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 113	113	1751	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 114	114	1752	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 115	115	1753	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 116	116	1754	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 117	117	1755	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 118	118	1756	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 119	119	1757	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
L 120	120	1758	"BZD	1.00"			"£	0.32"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	"> 11 Nov; by Act, legally set at Sp silver $ 1 = 6s 8d"
L 121	121	1759	"BZD	1.00"			"£	0.32"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 122	122	1760	"BZD	1.00"			"£	0.32"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 123	123	1761	"BZD	1.00"			"£	0.32"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 124	124	1762	"BZD	1.00"			"£	0.32"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 125	125	1763	"BZD	1.00"			"£	0.32"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 126	126	1764	"BZD	1.00"			"£	0.32"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 127	127	1765	"BZD	1.00"			"£	0.32"	"£	0.23"		McCusker	"Accts in Jamaica currency, inferred from Burnaby’s Code"	"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 128	128	1766	"BZD	1.00"			"£	1.28"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 129	129	1767	"BZD	1.00"			"£	1.28"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 130	130	1768	"BZD	1.00"			"£	1.28"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 131	131	1769	"BZD	1.00"			"£	1.28"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 132	132	1770	"BZD	1.00"			"£	1.28"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 133	133	1771	"BZD	1.00"			"£	1.28"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 134	134	1772	"BZD	1.00"			"£	1.28"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 135	135	1773	"BZD	1.00"			"£	1.28"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	"> 31 Dec, Act had effect of increasing FX “soon after”"
L 136	136	1774	"BZD	1.00"			"£	1.28"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 137	137	1775	"BZD	1.00"			"£	1.28"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 138	138	1776	"BZD	1.00"			"£	1.28"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 139	139	1777	"BZD	1.00"			"£	1.28"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
L 140	140	1778	"BZD	1.00"			"£	1.28"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"McCusker
Chalmers"	
