Series S 0—435 / Primary and secondary sources.
ID	NO	PRIMARY	TYPE	ALT ID	PERIOD	PERIOD	SIZE	UNITS	ITEM	REPOSITORY	CITY	COUNTRY	CITY	COUNTRY	FIRST PUB	LAST PUB	AUTHORS	EDITORS	JOURNAL	V	I	VIA	NOTE	LINK	
S 133	133	1	P	Herrera	1492	xxx	4	vols	Historia general de los hechos de los castellanos en las islas i tierra firme del mar oceano 				Madrid	Spain	1601	1615							1730 edition in 8 vols at Gale/Sabin Americana	Gale/Sabin Americana v1: https://link.gale.com/apps/doc/CY0111567515/SABN?u=camb55135&sid=SABN&xid=3acb195c	
S 		1	P	Hodgson	xxx		1	vols	"Some Account of the Mosquito Territory, contained in a Memoir, written in 1757, while that country was in possession of the British"				Edinburgh	UK	1822		R. Hodgson							xxx	
S 135	135	1	P	Hon Alm	1638	1830	5	vols	Honduras Almanack				Belize	Belize	1826	1830						Burdon 1	"1826 Extract Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A145EB27AE90296CD%40EANX-14CA6E8DB2A50AC8%402389038-14CA67053AA11820%403
1829 Link: http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_8627122_000/ldpd_8627122_000.pdf"		
S 136	136	1	P	Honestus	1739	1741	1	vols	"The profit and loss of Great Britain in the present war with Spain : from July 1739, to July 1741 : in a letter to a friend"				London	UK	1741								"Printed for J. Roberts, ..."	https://link.gale.com/apps/doc/U0100790139/MOME?u=camb55135&sid=MOME&xid=a90ee074	
S 138	138	1	MS	"INDIFERENTE,a"	1492	1870	3169	legajos	Indiferente General	Archivo General de Indias	Seville	Spain										PARES			
S 305	305	1	MS	IP	1829	1829	1	vols	Indian Papers	Archives and Records Service	Belmopan	Belize										Burdon 2	"Inc uncompleted, unsigned, undated questionnaire with answers, on the subject of the constitution of the Law Courts, the law, and the Judiciary procedure of the Settlement /Burdon 2"		
S 139	139	1	P	Jam Act d y	1681	1788	7	vols	"Acts of Assembly, passed in the island of Jamaica"				Kingston	Jamaica	1738	1790							"Inc 1681 to 1737 by John Baskett / 1681 to 1754 for Curtis Brett and Co. / 1681 to 1768 by Lowry and Sherlock / 1770 to 1783 for James Jones by Lewis and Eberall / 1681 to 1769 by Alexander Aikman, in 2 vols / 1784 to 1788 by Alexander Aikman"		
S 140	140	1	S	Jam G	1794	2021	xxx		Gazette				Kingston	Jamaica	xxx								"Gazettes 1794–1968 in CO 141
Gazette notices 1718 to c 1755 in Weekly Jamaica Courant / c 1745 to c 1775 in Jamaica Gazette / c 1760 to c 1776 in Kingston Journal / c 1781 to c 1836 in Royal Gazette"		
S 141	141	1	P	Jameson	1638	1772	1	vols	Privateering and Piracy in the Colonial Period				New York	USA	1923								Edited by J. F. Jameson	http://www.gutenberg.org/files/24882/24882-h/24882-h.htm	
S 142	142	1	P	Jarves	xxx		1	vols	"Scenes and Scenery in the Sandwich Islands, and a Trip Through Central America Being Observations from My Note-book During the Years 1837-1842"				Boston	USA	1843									https://www.google.com/books/edition/Scenes_and_Scenery_in_the_Sandwich_Islan/dawbaX-jbt4C?hl=en&gbpv=0	
