Series S 0—421 / Primary sources which are deposited series or collections.
ID	NO	PRIM	COLL	TYPE	ALT ID	CITED	PERIOD	PERIOD	SIZE	UNITS	ITEM	REPOSITORY	CITY	COUNTRY	IMPRINT	CITY	COUNTRY	FIRST PUB	LAST PUB	AUTHORS	EDITORS	JOURNAL	V	I	VIA	NOTE	LINK	END	
S 121	121	1	1	MS	Sloane MS	5	1	1964	3885	mss	Sloane Manuscripts	British Library	London	UK	np	np	np	np	np	np	np	np	np	np	BL Catalogue	xnp	xnp	###	
S 405	405	1	1	MS	Westminster d	3	1066	1900	xxx	xxx	Muniments of Westminster Abbey	Westminster Abbey	London	UK	np	np	np	np	np	np	np	np	np	np	Westminster Abbey Muniment Catalogue	"Some volumes or items possibly deposited in TNA, Kew, UK /Westminster Abbey Muniment Catalogue Link: https://www.westminster-abbey.org/about-the-abbey/library-research/muniment-collection "	xnp	###	
S 337	337	1	1	MS	WMMS a	0	1691	2018	1441	boxes	(Wesleyan) Methodist Missionary Society Archive	SOAS University of London	London	UK	np	np	np	np	np	np	np	np	np	np	xnp	http://archives.soas.ac.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=MMS 	xnp	###	
S 245	245	1	1	MS	xxx	0	1780	1815	1184	items	Nugent Papers	National Army Museum	London	UK	np	np	np	np	np	np	np	np	np	np	xnp	TNA: http://discovery.nationalarchives.gov.uk/details/r/c9a48450-da31-492e-b151-6ca2342ba7a4	xnp	###	
S 303	303	1	1	MS	xxx	0	1498	2000	14	series	House of Lords: Journal Office: Main Papers	Parliamentary Archives	London	UK	np	np	np	np	np	np	np	np	np	np	xnp	TNA Discovery: http://discovery.nationalarchives.gov.uk/browse/r/h/3eeacff7-c324-4de1-88db-3550038feb19	xnp	###	
S 401	401	1	1	MS	xxx	0	xxx	xxx	xxx	xxx	Archives	West India Committee	London	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://westindiacommittee.org/libraryandarchive/	xnp	###	
S 203	203	1	1	MS	xxx	0	1802	1891	448	vols	"Tait, Archibald Campbell (1811-1882)"	Lambeth Palace	London	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://archives.lambethpalacelibrary.org.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=Tait	xnp	###	
S 199	199	1	1	MS	xxx	0	1869	1884	1	items	Correspondence and papers on churches outside the diocese of London	Lambeth Palace	London	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://archives.lambethpalacelibrary.org.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=FP%2fJackson%2fF%2f54	xnp	###	
S 201	201	1	1	MS	xxx	0	1626	1822	40	vols	Fulham Papers Colonial	Lambeth Palace	London	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://archives.lambethpalacelibrary.org.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=FP%2f1-40	xnp	###	
S 197	197	1	1	MS	xxx	0	1642	1972	7	series	Christian Faith Society	Lambeth Palace	London	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://archives.lambethpalacelibrary.org.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=CFS	xnp	###	
