C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	PERIOD	PERIOD	NO.	UNITS	ITEM	REPOSITORY	CITY	COUNTRY					VIA	NOTE	
		MS		1677	1897	6	feet	Barton family papers	Peabody Essex Museum	Rowley	USA						https://pem.as.atlas-sys.com/repositories/2/resources/124	
		MS		1684	1858	2.5	feet	Goodhue family papers	Peabody Essex Museum	Rowley	USA						https://pem.as.atlas-sys.com/repositories/2/resources/111	
		MS		1759	1830	2.5	feet	Waite family papers	Peabody Essex Museum	Rowley	USA							
		MS		1784	1823	1	boxes	Papers of Joseph Russell and William Russell	Peabody Essex Museum	Rowley	USA							
		MS		1720	1915	9	boxes	"Gardner Family Papers, 1720-1915, undated"	Peabody Essex Museum	Rowley	USA							
		MS		1780	1827	2	boxes	"Elijah and Jacob Sanderson Papers, 1780-1827, circa 1938, undated"	Peabody Essex Museum	Rowley	USA							
		MS		1801	1846	1	boxes	"William Hook Papers, 1801-1846, undated"	Peabody Essex Museum	Rowley	USA							
		MS		1891	1901	2.9	feet	Central American Expedition records	Peabody Museum	Cambridge	USA						https://hollisarchives.lib.harvard.edu/repositories/6/resources/4768	
		MS		1869	1918	6.75	feet	Charles P. Bowditch papers	Peabody Museum	Cambridge	USA						https://hollisarchives.lib.harvard.edu/repositories/6/resources/4763	
		MS		1844	1863	0.25	feet	James Henry Cunningham family papers	Penobscot Marine Museum	Searsport	USA						Not found in Archives Catalogue Link: https://penobscotmarinemuseum.org/museum-collections-database/	
		MS	"Real Acad Hist, Col Muñoz, a"	xxx		76	vols	"Manuscritos, Juan Bautista Muñoz"	Real Academia de la Historia	Madrid	Spain					RAH Catalogue	"Signatura 9/4779-4856
RAH Catalogue Link: https://www.rah.es/colecciones-de-manuscritos/ "	
		MS		xxx		8	vols	"Manuscritos, América"	Real Academia de la Historia	Madrid	Spain						Signatura 9/1917-1924	
		MS		xxx		32	vols	"Manuscritos, Memorias de Nueva España o Boturini"	Real Academia de la Historia	Madrid	Spain						Signatura 9/4857-4886 y 9/4930-4948	
		MS		xxx		xxx		Manuscritos de América	Real Biblioteca	Madrid	Spain						Catalogue Link: https://realbiblioteca.es/index.php/es/coleccionesrb	
